Index,DateTime,Latitude,Longitude,Elevation,Velocity,MainPackSOC,MainPackVoltage,MainPackCurrent,ArrayCurrent,Identity,Array Power,Battery Power,Motor Power
635253167913928000,1/14/2014 5:19:51 PM,4435.0222,9258.7164,303.2,41,31.5,97,-18.88,6.299,118696,611.003,-1831.36,2442.363
635253167926169000,1/14/2014 5:19:52 PM,4435.0362,9258.7361,304.5,41,31.5,97,-14.32,7.0309,118697,681.9973,-1389.04,2071.0373
635253167934250000,1/14/2014 5:19:53 PM,4435.0362,9258.7361,305.7,41,31.5,97,-15.4,6.7216,118698,651.9952,-1493.8,2145.7952
635253167944970000,1/14/2014 5:19:54 PM,4435.0497,9258.7556,306.3,40,31.5,97,-15.32,6.7216,118699,651.9952,-1486.04,2138.0352
635253167954651000,1/14/2014 5:19:55 PM,4435.0565,9258.7654,306.5,41,31.5,97,-15.27,6.5464,118700,635.0008,-1481.19,2116.1908
635253167964641000,1/14/2014 5:19:56 PM,4435.0634,9258.7752,306.8,41,31.5,97,-14.27,6.5464,118701,635.0008,-1384.19,2019.1908
635253167974772000,1/14/2014 5:19:57 PM,4435.0701,9258.785,306.9,40,31.5,97,-13.52,6.6598,118702,646.0006,-1311.44,1957.4406
635253167984903000,1/14/2014 5:19:58 PM,4435.0701,9258.785,307,40,31.5,97,-13.47,6.299,118703,611.003,-1306.59,1917.593
635253167995053000,1/14/2014 5:19:59 PM,4435.0836,9258.8049,307.3,41,31.5,97,-13.47,6.4845,118704,628.9965,-1306.59,1935.5865
635253168005194000,1/14/2014 5:20:00 PM,4435.0903,9258.8149,307,41,31.5,97,-14.95,5.9897,118705,581.0009,-1450.15,2031.1509
635253168015324000,1/14/2014 5:20:01 PM,4435.097,9258.8248,307,41,31.5,97,-13.75,6.299,118706,611.003,-1333.75,1944.753
635253168025475000,1/14/2014 5:20:02 PM,4435.1039,9258.8348,306.7,41,31.5,97,-12.27,6.1753,118707,599.0041,-1190.19,1789.1941
635253168035615000,1/14/2014 5:20:03 PM,4435.1039,9258.8348,306,41,31.5,97,-12,6.2371,118708,604.9987,-1164,1768.9987
635253168045746000,1/14/2014 5:20:04 PM,4435.1176,9258.8548,306.1,41,31.5,97,-10.88,6.3608,118709,616.9976,-1055.36,1672.3576
635253168055927000,1/14/2014 5:20:05 PM,4435.1247,9258.8648,306.4,42,31.5,97.2,-9.65,6.2828,118710,610.68816,-937.98,1548.66816
635253168066027000,1/14/2014 5:20:06 PM,4435.1318,9258.8748,306.8,42,31.5,97.2,-9.45,6.2314,118711,605.69208,-918.54,1524.23208
635253168076178000,1/14/2014 5:20:07 PM,4435.1391,9258.8848,307.2,42,31.5,97.2,-5.6,6.1799,118712,600.68628,-544.32,1145.00628
635253168090129000,1/14/2014 5:20:09 PM,4435.1464,9258.8948,307.3,42,31.5,97.5,-4.65,6.2154,118713,606.0015,-453.375,1059.3765
635253168096449000,1/14/2014 5:20:09 PM,4435.1537,9258.9047,307.5,42,31.5,97.2,-6.45,6.4987,118714,631.67364,-626.94,1258.61364
635253168106590000,1/14/2014 5:20:10 PM,4435.1611,9258.9145,307.2,42,31.5,97.2,-6.25,6.4987,118715,631.67364,-607.5,1239.17364
635253168116750000,1/14/2014 5:20:11 PM,4435.1686,9258.9242,307.6,43,31.5,97.2,-6.65,6.3548,118716,617.68656,-646.38,1264.06656
635253168126871000,1/14/2014 5:20:12 PM,4435.1764,9258.9338,308.4,43,31.5,97.2,-6.95,6.2931,118717,611.68932,-675.54,1287.22932
635253168137001000,1/14/2014 5:20:13 PM,4435.1764,9258.9338,309.3,43,31.5,97.2,-6.92,6.2314,118718,605.69208,-672.624,1278.31608
